T_K [INPUT],P_atm [INPUT],Z_feed [INPUT],N_stages [INPUT],F_Stage [INPUT],R_reflux [INPUT],B_molps [INPUT],xD [OUTPUT],xB [OUTPUT],QC_kW [OUTPUT],QR_kW [OUTPUT],status [INFO]
350.0,1.0,0.5,10,5,2.0,50.0,0.94247584,0.94314993,4620.0338,4777.5428,done
350.0,1.0,0.5,10,5,3.0,50.0,0.95897025,0.95722084,6155.8932,6312.8427,done
350.0,1.0,0.5,10,5,2.0,40.0,0.81571508,0.97110384,5618.3653,5714.6931,done
350.0,1.0,0.5,10,5,2.0,60.0,0.99164561,0.82783705,3680.5193,3872.5132,done
350.0,1.0,0.3,10,5,2.0,50.0,0.56452967,0.96776047,4775.2509,4910.1358,done
350.0,1.0,0.7,10,5,2.0,50.0,0.98953351,0.59108965,4612.7927,4746.67,done
360.0,1.5,0.5,12,6,2.5,50.0,0.9700203,0.9672767,5320.2056,5693.3081,done
340.0,2.0,0.4,15,8,3.0,45.0,0.72841037,0.99635014,7013.5944,7345.8619,done
336.7,1.529,0.539,13,9,2.473,45.42,0.96942139,0.97460223,5951.1031,6048.335,done
342.8,1.59,0.5691,13,12,2.389,58.9,0.97754104,0.71509415,4335.6968,4515.4275,done
364.9,2.097,0.3131,10,9,4.132,62.92,0.80590191,0.97909388,5773.0835,6491.7054,done
339.6,2.672,0.7084,13,7,2.678,60.57,0.9895824,0.47597554,4531.5887,4853.3928,done
367.8,1.769,0.2881,14,13,3.359,32.88,0.41802747,0.9789863,9130.2476,9803.2778,done
339.4,1.281,0.2377,10,9,2.479,32.83,0.33606126,0.96348526,7688.7988,7738.3286,done
360.1,2.149,0.2277,15,14,4.201,49.18,0.43494591,0.98954731,8345.733,9137.3375,done
373.6,1.321,0.6438,11,2,1.297,44.06,0.999,0.80308969,3797.5544,4295.9488,done
376.7,1.029,0.6647,17,8,4.012,34.33,0.99239395,0.95985185,9702.1492,10145.8043,done
362.4,2.71,0.6683,19,12,1.66,53.79,0.98661876,0.60794271,3712.3841,4248.3624,done
378.7,2.063,0.2926,9,3,4.951,34.78,0.45052214,0.998,11850.2072,13078.3658,done
371.6,1.355,0.7825,10,5,4.728,56.34,0.98964984,0.37972615,7431.4158,8034.9825,done
360.5,2.346,0.3713,14,9,4.097,47.32,0.69326173,0.98817057,8261.0737,9164.7226,done
374.3,1.009,0.5377,17,14,1.09,67.21,0.97623177,0.68006869,2023.0881,2570.3268,done
335.5,2.471,0.7265,10,6,3.368,34.68,0.98831826,0.76391319,8982.3434,9541.9106,done
378.5,1.917,0.4484,8,3,1.887,58.64,0.99431897,0.93586478,3506.2472,4200.989,done
348.3,2.175,0.5202,19,13,1.497,48.28,0.97526975,0.96783346,3978.4514,4251.7168,done
340.1,1.588,0.6912,15,13,4.49,45.44,0.97879537,0.65376348,9378.5853,9648.9151,done
375.7,1.931,0.64,12,4,1.837,50.35,0.999,0.71369816,4146.6869,4813.7215,done
348.0,2.083,0.554,10,6,1.199,50.06,0.9871339,0.87761323,3401.9005,3602.2466,done
346.6,2.289,0.5065,11,5,1.072,55.07,0.9892101,0.88873782,2869.4716,3062.2469,done
334.2,2.226,0.2079,18,16,2.549,40.34,0.32575616,0.96267495,7055.2526,7325.373,done
330.3,1.121,0.243,19,3,4.197,33.21,0.36332836,0.998,11584.6897,11440.5109,done
349.4,2.476,0.6713,18,9,3.334,54.36,0.99341741,0.59901615,6094.4038,6663.3976,done
374.3,2.237,0.7453,17,15,4.327,42.35,0.9744724,0.5651085,9096.614,10164.3544,done
365.7,2.286,0.6921,11,5,1.032,49.28,0.98992344,0.61453766,3094.1209,3562.4741,done
345.4,1.768,0.4279,12,3,1.112,68.75,0.99612435,0.83145285,2040.6498,2187.6296,done
373.3,1.845,0.6884,9,7,3.488,45.79,0.97996057,0.65663142,7196.5406,7970.8492,done
343.4,2.927,0.7976,17,16,4.532,49.21,0.97320148,0.38285848,8741.7895,9678.561,done
371.7,2.952,0.245,18,17,1.174,62.16,0.60215624,0.9734738,2512.2731,3094.5,done
338.3,2.261,0.5334,12,11,3.909,54.65,0.97492743,0.83513279,7004.5578,7386.3191,done
354.7,2.591,0.3281,12,5,3.181,33.4,0.49469872,0.998,8825.9545,9722.6513,done
365.3,2.562,0.2138,18,13,4.17,63.89,0.5836797,0.99693514,5754.0401,6594.609,done
374.4,2.563,0.6497,9,8,1.695,57.65,0.97662088,0.58902218,3375.2313,4055.6826,done
335.3,2.608,0.716,17,10,1.109,46.92,0.98732983,0.58869795,3523.9505,3584.1616,done
352.5,2.356,0.2072,19,17,2.665,56.53,0.44563707,0.97522622,5107.1269,5579.1255,done
344.0,1.949,0.2487,10,6,1.298,53.76,0.50799588,0.97123376,3427.0366,3575.3348,done
341.5,2.825,0.2412,16,4,4.211,60.44,0.60974726,0.998,6616.9731,7234.6805,done
371.6,2.824,0.593,8,4,2.048,52.22,0.98831468,0.76884211,4315.0656,5077.0151,done
332.2,2.169,0.6958,11,7,1.939,65.55,0.98654054,0.45295328,3198.673,3240.6241,done
334.8,2.203,0.2517,18,6,3.528,38.21,0.40935249,0.998,9235.1543,9700.7448,done
347.7,2.464,0.3029,12,9,4.875,61.16,0.76579478,0.99262795,7161.6361,7818.6638,done
363.6,1.472,0.4623,20,9,3.424,36.84,0.7313315,0.998,8588.8406,9105.1743,done
353.6,2.653,0.6701,11,10,1.519,51.72,0.97297179,0.61099018,3711.6828,4130.3935,done
359.9,2.493,0.4368,11,3,3.551,45.17,0.79515665,0.998,7691.7926,8503.9911,done
363.0,2.077,0.2554,11,7,3.09,60.46,0.60842334,0.97479234,4999.3343,5620.0658,done
358.9,1.522,0.7988,8,2,3.218,30.81,0.999,0.64797842,8853.6008,9284.1606,done
362.5,2.448,0.2363,14,3,3.492,54.93,0.52166464,0.99791215,6302.6082,7094.2058,done
353.6,2.21,0.2181,11,6,4.598,47.29,0.40815231,0.998,9474.9534,10241.6512,done
332.1,1.819,0.5713,19,10,1.591,45.17,0.98881893,0.93938973,4493.1909,4504.4074,done
379.6,1.217,0.6073,15,8,3.42,32.5,0.89886921,0.99464285,8784.0042,9381.1759,done
353.1,2.81,0.6057,8,4,4.956,51.52,0.98801542,0.75484781,8816.9359,9898.9837,done
346.4,2.151,0.2987,17,14,4.807,33.75,0.44527592,0.98703629,12411.3264,13290.9094,done
354.8,2.146,0.6987,14,8,4.281,41.13,0.98965049,0.71188777,9489.7505,10254.926,done
376.3,1.686,0.4712,16,7,1.715,40.84,0.78557986,0.98530956,4799.5752,5450.0154,done
371.5,1.62,0.7966,16,15,2.54,62.8,0.97411059,0.30785424,3901.9695,4519.7155,done
342.7,1.269,0.2595,18,16,1.019,41.93,0.41396892,0.95581952,3823.6574,3858.5352,done
330.8,1.139,0.4121,17,7,2.925,38.81,0.67023707,0.99554758,7832.3243,7697.6915,done
332.6,1.675,0.2531,19,5,3.447,52.53,0.53451735,0.998,6923.0122,7055.8843,done
352.5,1.624,0.3163,14,4,4.164,42.53,0.5518655,0.998,9412.8141,9840.9209,done
358.9,2.382,0.7627,19,4,2.367,40.92,0.99448265,0.57405894,6022.265,6644.6067,done
360.2,1.725,0.6789,9,5,4.209,30.31,0.95835853,0.95859153,11005.0413,11690.879,done
375.4,2.561,0.2664,16,10,4.008,46.91,0.49922121,0.99409719,8104.227,9333.2209,done
377.4,2.433,0.3445,12,8,2.699,42.07,0.57917621,0.98011995,6517.3214,7453.3669,done
364.7,1.663,0.5456,16,14,4.257,52.49,0.9732194,0.84861884,7517.8125,8133.5807,done
370.1,2.234,0.4867,18,17,1.34,67.38,0.9787457,0.74937953,2279.1248,2809.8964,done
351.8,1.984,0.249,11,6,3.502,47.81,0.47084606,0.99457008,7513.4478,8054.2222,done
364.7,1.172,0.669,10,6,1.056,30.99,0.91169382,0.866704,4283.285,4613.8258,done
358.3,1.224,0.5789,12,2,2.487,48.82,0.99325326,0.85467235,5426.2045,5739.9499,done
365.2,1.523,0.5222,12,4,3.202,62.18,0.999,0.76698677,4757.9348,5284.5025,done
341.8,2.41,0.2972,11,10,2.443,68.49,0.87501344,0.96601755,3409.117,3626.1267,done
358.6,1.764,0.2243,18,16,1.482,65.19,0.60004514,0.97390821,2713.956,3063.2073,done
345.8,1.579,0.2936,16,2,2.065,60.63,0.71311389,0.98155154,3823.9953,4018.62,done
367.2,2.496,0.4905,15,8,3.952,56.82,0.99075012,0.89057084,6375.8732,7272.0007,done
344.8,1.436,0.5654,12,6,4.864,61.79,0.99240618,0.69713877,6959.8766,7219.24,done
355.4,1.668,0.6364,16,11,2.329,42.77,0.9812356,0.8299348,5797.9592,6188.3678,done
370.5,2.126,0.4225,11,3,3.26,69.33,0.99780988,0.8320054,3883.3883,4571.1622,done
341.7,2.025,0.2736,19,10,2.04,53.84,0.55608975,0.97002036,4523.661,4743.1053,done
378.1,1.663,0.411,13,6,4.967,41.11,0.69349674,0.9948214,10563.8815,11473.9725,done
339.5,2.587,0.4769,19,5,2.586,51.27,0.97891482,0.998,5466.3033,5819.0265,done
361.2,1.104,0.6195,19,15,3.29,32.53,0.90277509,0.97060536,8805.2354,9074.0693,done
357.0,1.924,0.7116,12,8,4.997,44.89,0.98497915,0.62532219,10064.6947,10768.0817,done
370.8,1.645,0.6162,14,4,3.809,55.44,0.99753637,0.69341497,6360.3892,7015.6103,done
348.1,1.097,0.5855,19,15,2.865,34.82,0.88483366,0.97685339,7825.4106,7917.2531,done
340.2,1.138,0.5418,14,8,3.926,48.97,0.98721706,0.92513105,7843.1218,7916.4143,done
335.6,1.096,0.2656,16,4,3.657,38.7,0.43377394,0.998,9390.9682,9351.6781,done
343.4,1.581,0.337,11,7,1.075,67.56,0.97279728,0.96938481,2096.3817,2210.6781,done
350.9,1.607,0.7392,10,5,2.234,48.86,0.98841267,0.52532648,5075.7314,5341.5025,done
378.9,1.441,0.23,18,9,2.045,68.91,0.69804922,0.98164215,2832.8132,3475.0595,done
365.7,1.092,0.2764,15,6,2.72,32.55,0.40805452,0.99721918,7847.5749,8155.1437,done
372.9,1.292,0.3899,14,13,2.196,45.21,0.68940918,0.97336252,5306.4384,5823.3804,done
330.3,1.716,0.3592,9,3,2.767,31.87,0.52562065,0.998,8468.0226,8549.9664,done
338.8,1.367,0.4288,19,18,4.889,53.92,0.91065638,0.98365148,8571.5042,8720.9854,done
355.7,1.534,0.658,19,5,1.707,36.82,0.99573222,0.9227946,5208.8674,5505.2021,done
369.1,2.077,0.2201,15,12,1.563,49.69,0.40938664,0.96720203,4005.6353,4577.6871,done
357.9,2.423,0.4455,10,9,2.628,69.82,0.97664905,0.78455005,3329.1551,3799.8301,done
338.2,2.497,0.6142,13,3,3.457,37.84,0.98708922,0.998,8684.2557,9275.0156,done
349.4,1.03,0.4633,12,10,1.233,30.06,0.61655272,0.89509647,4960.6254,5001.7574,done
378.9,1.119,0.2919,10,2,1.147,69.8,0.91379123,0.97764327,1912.424,2527.0176,done
349.7,1.851,0.4912,12,5,3.047,63.29,0.99431139,0.80096359,4583.6955,4901.3002,done
366.8,1.392,0.3988,18,10,1.984,55.19,0.87421091,0.98762652,4032.9627,4496.5649,done
331.5,2.807,0.6456,9,7,3.868,44.04,0.98120866,0.78061656,8639.0215,9276.8617,done
351.3,2.795,0.2773,12,3,2.567,40.03,0.45774207,0.99277302,6825.9141,7549.1697,done
353.5,1.476,0.3617,17,2,4.678,59.55,0.89156497,0.998,7085.767,7496.6109,done
370.6,2.411,0.3036,19,7,3.907,61.09,0.78163984,0.998,5764.8055,6617.9905,done
377.8,2.99,0.6445,9,8,1.224,35.5,0.92778508,0.87036687,4225.9138,5066.5855,done
337.3,1.948,0.2867,11,4,2.001,55.94,0.61582721,0.97481526,4270.1415,4399.3073,done
376.8,2.552,0.4984,11,6,4.278,44.41,0.88387316,0.98579051,8723.3406,9984.4267,done
368.5,1.267,0.4581,9,2,3.444,31.36,0.66624787,0.99548644,9321.5696,9807.0677,done
373.6,2.964,0.6608,14,11,4.273,32.92,0.97030589,0.96326023,10467.9343,12039.9994,done
372.0,2.434,0.4214,9,8,1.068,52.29,0.82198301,0.94089693,2967.2067,3531.3542,done
372.5,1.785,0.2399,10,4,2.456,51.62,0.46763774,0.97726994,5157.3834,5791.5319,done
332.9,1.883,0.3554,9,7,4.085,31.61,0.51011157,0.9834523,11440.5561,11814.7544,done
355.8,1.899,0.7668,13,6,1.62,68.98,0.99150114,0.33569747,2481.3789,2810.5052,done
362.1,1.762,0.3579,9,4,2.497,54.38,0.74190805,0.96316386,4911.4913,5393.69,done
351.4,2.192,0.5983,20,8,1.646,64.77,0.99407552,0.61507032,2862.3701,3148.7567,done
376.1,1.056,0.4095,14,3,1.002,61.23,0.99638489,0.96172195,2285.7184,2828.8291,done
352.4,2.246,0.7428,9,8,3.104,69.28,0.97562346,0.36149459,3879.0531,4289.7916,done
330.5,2.579,0.7726,16,3,4.663,49.34,0.99393086,0.45381378,9085.8247,9700.5885,done
368.8,1.132,0.4158,18,8,4.99,62.98,0.99341994,0.92461729,6606.9023,7136.2182,done
352.8,2.194,0.7168,8,5,2.45,40.59,0.98391431,0.67599364,6270.8648,6788.2994,done
377.8,1.991,0.4316,10,5,1.558,34.85,0.62798011,0.92786447,5013.4085,5748.3829,done
354.7,1.471,0.5387,12,2,2.069,65.73,0.99248329,0.6974919,3211.2927,3525.5339,done
376.2,2.25,0.3898,19,18,3.78,38.65,0.62214597,0.97666998,8860.1436,9941.793,done
336.5,1.603,0.3994,19,16,4.239,41.74,0.72708364,0.99746619,9819.0574,10005.9617,done
339.7,1.382,0.5754,12,11,1.449,30.64,0.80914666,0.95529248,5395.5485,5413.2091,done
